State,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Texas,01/06/21,-21,-10,-32,-31,-31,13
Texas,01/07/21,-21,-11,-23,-32,-32,13
Texas,01/08/21,-22,-12,-34,-32,-30,12
Texas,01/09/21,-21,-8,-36,-28,-13,7
Texas,01/10/21,-39,-27,-67,-40,-25,11
Texas,01/11/21,-23,-15,-45,-35,-36,14
Texas,01/12/21,-21,-11,-34,-31,-33,12
Texas,01/13/21,-19,-10,-22,-30,-30,11
Texas,01/14/21,-21,-14,-14,-30,-32,11
Texas,01/15/21,-22,-13,-31,-30,-31,11
Texas,01/16/21,-22,-13,-21,-28,-14,6
Texas,01/17/21,-19,-15,-20,-31,-16,6
Texas,01/18/21,-17,-14,-10,-31,-46,14
Texas,01/19/21,-23,-13,-31,-32,-33,12
Texas,01/20/21,-24,-15,-36,-33,-31,13
Texas,01/21/21,-23,-15,-31,-33,-32,12
Texas,01/22/21,-22,-12,-29,-32,-29,11
Texas,01/23/21,-23,-13,-35,-31,-14,7
Texas,01/24/21,-25,-17,-48,-33,-17,7
Texas,01/25/21,-22,-16,-23,-32,-31,11
Texas,01/26/21,-19,-13,-17,-31,-32,11
Texas,01/27/21,-18,-12,-19,-30,-30,11
Texas,01/28/21,-20,-14,-16,-30,-31,11
Texas,01/29/21,-19,-13,-22,-29,-29,10
Texas,01/30/21,-19,-11,-19,-27,-13,6
Texas,01/31/21,-15,-11,-17,-27,-14,5
Texas,02/01/21,-19,-12,-24,-30,-31,10
Texas,02/02/21,-18,-11,-15,-30,-31,10
Texas,02/03/21,-16,-8,-9,-29,-29,10
Texas,02/04/21,-18,-11,-6,-29,-31,10
Texas,02/05/21,-20,-12,-30,-30,-29,10
Texas,02/06/21,-18,-7,-19,-27,-13,5
Texas,02/07/21,-22,-8,-27,-30,-14,5
Texas,02/08/21,-21,-14,-24,-30,-31,10
Texas,02/09/21,-19,-10,-25,-29,-31,11
Texas,02/10/21,-19,-8,-35,-30,-30,12
Texas,02/11/21,-29,-15,-51,-36,-39,17
Texas,02/12/21,-24,-5,-52,-34,-36,16
Texas,02/13/21,-28,-1,-61,-36,-21,11
Texas,02/14/21,-56,-34,-76,-57,-43,16
Texas,02/15/21,-70,-50,-59,-68,-86,29
Texas,02/16/21,-53,-20,-55,-56,-80,22
Texas,02/17/21,-56,-26,-57,-59,-78,24
Texas,02/18/21,-46,-21,-59,-54,-69,25
Texas,02/19/21,-30,-13,-53,-40,-54,21
Texas,02/20/21,-21,-8,-40,-25,-9,7
Texas,02/21/21,-14,-9,-28,-24,-7,5
Texas,02/22/21,-11,-7,-18,-26,-31,9
Texas,02/23/21,-11,-8,-7,-23,-31,9
Texas,02/24/21,-10,-9,-5,-21,-28,8
Texas,02/25/21,-15,-13,-22,-23,-30,9
Texas,02/26/21,-15,-13,-25,-23,-27,9
Texas,02/27/21,-14,-11,-23,-19,-8,4
Texas,02/28/21,-12,-13,-27,-19,-10,4
Texas,03/01/21,-16,-15,-36,-25,-30,9
Texas,03/02/21,-11,-9,-11,-23,-30,9
Texas,03/03/21,-8,-3,-1,-21,-28,8
Texas,03/04/21,-10,-7,7,-21,-30,8
Texas,03/05/21,-14,-8,-13,-21,-28,8
Texas,03/06/21,-12,-6,5,-15,-10,2
Texas,03/07/21,-8,-7,0,-16,-12,2
Texas,03/08/21,-13,-10,-6,-22,-32,8
Texas,03/09/21,-11,-8,-1,-22,-33,9
Texas,03/10/21,-9,-5,2,-19,-31,9
Texas,03/11/21,-9,-6,13,-18,-32,8
Texas,03/12/21,-11,-6,-3,-16,-31,8
Texas,03/13/21,-9,-5,0,-7,-13,2
Texas,03/14/21,-7,-9,-21,-12,-14,3
Texas,03/15/21,-4,-5,11,-16,-37,8
Texas,03/16/21,-3,-5,14,-15,-37,8
Texas,03/17/21,4,-1,9,-14,-35,8
Texas,03/18/21,1,-2,27,-11,-37,7
Texas,03/19/21,-5,-5,12,-12,-36,7
Texas,03/20/21,-5,-4,19,-4,-12,0
Texas,03/21/21,0,-4,7,-4,-11,1
Texas,03/22/21,-10,-9,-20,-19,-30,8
Texas,03/23/21,-4,-4,6,-17,-29,7
Texas,03/24/21,-5,-4,-3,-18,-28,8
Texas,03/25/21,-5,-4,15,-16,-29,7
Texas,03/26/21,-7,-5,8,-15,-27,6
Texas,03/27/21,-7,-4,21,-11,-11,1
Texas,03/28/21,-2,-5,-5,-11,-12,2
Texas,03/29/21,-6,-5,2,-18,-29,7
Texas,03/30/21,-4,-3,5,-18,-29,7
Texas,03/31/21,-1,1,-2,-16,-28,7
Texas,04/01/21,2,3,21,-13,-29,5
Texas,04/02/21,-2,4,11,-16,-45,10
Texas,04/03/21,-8,6,1,-17,-17,2
Texas,04/04/21,-24,-18,5,-16,-23,1
Texas,04/05/21,-5,-3,4,-17,-31,7
Texas,04/06/21,-5,-2,8,-17,-30,7
Texas,04/07/21,-3,0,10,-16,-28,7
Texas,04/08/21,-4,-2,27,-15,-29,7
Texas,04/09/21,-8,-5,2,-16,-27,6
Texas,04/10/21,-6,-3,25,-10,-12,0
Texas,04/11/21,-1,-3,15,-10,-13,1
Texas,04/12/21,-7,-5,3,-17,-29,7
Texas,04/13/21,-7,-4,4,-19,-29,8
Texas,04/14/21,-6,-3,-3,-18,-28,8
Texas,04/15/21,-9,-6,-6,-17,-29,8
Texas,04/16/21,-11,-7,-23,-18,-28,8
Texas,04/17/21,-9,-6,-6,-13,-13,3
Texas,04/18/21,-4,-5,0,-11,-12,2
Texas,04/19/21,-8,-6,3,-17,-28,7
Texas,04/20/21,-6,-3,10,-17,-29,7
Texas,04/21/21,-6,-2,5,-16,-27,7
Texas,04/22/21,-7,-4,12,-15,-28,7
Texas,04/23/21,-13,-7,-23,-18,-29,9
Texas,04/24/21,-7,-2,23,-8,-12,1
Texas,04/25/21,-3,-3,16,-9,-12,1
Texas,04/26/21,-8,-4,6,-16,-28,7
Texas,04/27/21,-8,-4,1,-17,-29,8
Texas,04/28/21,-7,-2,1,-16,-27,8
Texas,04/29/21,-8,-3,-7,-17,-29,8
Texas,04/30/21,-10,-4,-25,-18,-28,8
Texas,05/01/21,-11,-5,-24,-15,-15,4
Texas,05/02/21,-2,-1,2,-9,-12,2
Texas,05/03/21,-7,-1,-4,-16,-28,7
Texas,05/04/21,-5,1,6,-16,-29,7
Texas,05/05/21,-2,3,17,-15,-27,6
